Netaji Subhas University of Technology (NSUT),,,,,,,,,,
Department: Information Technology,,,,,,,,,,
Semester/Section: Sixth/II,,,,,,,,,,
TIME/DAYS,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00:5:00,5:00- 6:00
,,,,,,,EO009(T1),EO009(T2),,
,EO003,EO004,ITD07/EO009,,,,,,ITD07(SH),
,,,,ITC20,EO004(T1),EO004(T2),,,,
MONDAY,,,,,,,ITD07(FH),,,
,,,,ITD18/EO,,ITC19,,,EO004,
,,,ITD12,,,,ITD18(T1),ITD18(T2),,ITC21
TUESDAY,,,,005,,,,,,
,,,ITC19(T1),,,,,ITC19,,
,,,,EO003,,,,,Free slot for seminars/ meetings,
WEDNESDAY,ITC21,ITC20,,,EO003(T1),EO003(T2),,,,
,,,,,,,,,,etc.
,,,ITC20(T2),,,,,,,
,EO004,ITD07/,,,,,ITD12(FH),,ITC19(T2),
,,EO009,ITD18/EO005,ITD12,EO005(T1),EO005(T2),,,,
THURSDAY,,,,,,,ITD12(SH),,ITC20(T1),
,,EO003,ITC20,,ITC21(FH),,,ITD18/EO00,ITC19,
FRIDAY,EO009,,,ITC21,ITC21(SH),,ITD12,5,,
"1. Slot A: Internet and Web Engineering, ITC19",,,,"Slot E2: Basics of HR Management, EO004",,,,,,
"2. Slot B: Compiler and Translator Design, ITC20",,,,"Slot E3: Pattern Recognition, ITD07 /Entrepreneurship, EO009",,,,,,
"3. Slot C: Modeling and Simulation, ITC21",,,,"Slot E4: Soft Computing, ITD18 /Project Management, EO005",,,,,,
"4. Slot E1: Basics of Financial Management, EO003",,,,"Slot E5: Image Processing, ITD12",,,,,,
